,source_sentence,label,human,time,location
571,"In 1869 he evicted the Barrett family from their farm at Moorepark, close to Castle Lambert.",settlement,he,1869,Moorepark
572,"In 2007, Meilin was given a scholarship at Tianjin Normal University and began her undergraduate study with a major in Performing Arts.",education,Meilin,2007,Tianjin Normal University
573,In 1848 he proceeded to Australia due to ill health and handed over the charge to Captain Orr.,career,he,1848,Australia
574,"A show entitled California Blues: Swingtime Tribute opened in 1993 at the Paramount Theatre in Oakland, California, with Fulson, Johnny Otis, Charles Brown, Jay McShann, Jimmy Witherspoon, Jimmy McCracklin and Earl Brown.",performance,Johnny Otis,1993,Oakland
575,Scott was elected Conservative MP for Maidstone at the 1857 general election and held the seat until 1859 when he did not seek re-election.,career,Scott,1857,Maidstone
576,"Wise began her career as a social studies teacher after relocating with her husband to Chester County, Pennsylvania in 1950.",career,Wise,1950,Pennsylvania
577,He died on 27 June 1882 at Vendôme.,death,He,27 June 1882,Vendôme
578,"On 25 June 2021, Mahesh met with an accident when his car collided with a truck near Nellore, when he was travelling from Chittoor towards Hyderabad.",accident,he,25 June 2021,Nellore
579,Wolfgang Müller von Königswinter (15 March 1816 in Königswinter – 29 June 1873 in Bad Neuenahr) was a German novelist and poet.,birth,Wolfgang Müller von Königswinter,15 March 1816,Königswinter
580,"Würth was born October 9, 1961, in Schwäbisch Hall, West Germany the youngest child to Reinhold Würth and his wife Carmen (née Linhardt).",give birth,Carmen,"October 9, 1961",Schwäbisch Hall
581,"David Shannon was born in Fort William, Ontario (now Thunder Bay) on August 29, 1963, to William (Bill) and Lorraine Shannon.",give birth,Bill,"August 29, 1963",Ontario
582,In 1930 Allan was made head of the botany section of the Australasian Association for the Advancement of Science and was sponsored by the Empire Marketing Board to travel to London.,career,Allan,1930,London
583,"In the autumn of 1904, the Fedko family, with their 7-year-old son Ivan, moved to Bessarabia.",movement,Fedko,the autumn of 1904,Bessarabia
584,"He died of bladder cancer on April 16, 1949, aged 68, at his Sharon, Massachusetts, home, and was buried in Great Hills Cemetery, which is located in Boston Ma.",death,He,"April 16, 1949",Sharon
585,"In 2006 he lost a downhill race against Austrian skier Stephan Eberharter at Obertauern as part of the German television show Wetten, dass..?, the race being broadcast live on television.",competition,Stephan Eberharter,2006,Obertauern
586,"In March 2011, the interim government of Egypt appointed Cairo University professor Emad Abu Ghazi to the post.",career,Emad Abu Ghazi,March 2011,Cairo University
587,Irvine graduated MD around 1763 and then did further postgraduate studies in London and Paris.,education,Irvine,1763,London
588,He swam at the 1972 Summer Olympics in Munich and at the 1973 World Aquatics Championships in Belgrade.,competition,He,1972,Munich
589,In 1772 he moved to the far larger dock at Portsmouth.,movement,he,1772,Portsmouth
590,"After returning to Laurel Springs Children’s Camp the next summer, she eventually told counselors about the rape, who relayed that information to Fonda.",movement,she,the next summer,Laurel Springs Children’s Camp
591,"During the spring of 2007, Ōsaka""s health had deteriorated and spent his remaining days in his hometown of Neyagawa, Osaka Prefecture, where he had been staying at his family residence.",settlement,he,the spring of 2007,Neyagawa
592,"In 1957, Liverpool entered the University of Hull and obtained an LL.B (Hons.) degree in 1960.",education,Liverpool,1960,University of Hull
593,"Laukkanen""s best finish at the FIS Nordic World Ski Championships was ninth in the 15 km event at Oberstdorf in 1987.",competition,Laukkanen,1987,Oberstdorf
594,"Obiakor found himself at Government College Umuahia, where he continued his education up till 1967.",education,he,1967,Government College Umuahia
595,"He and Joanna Holbrook, whom he later married, arrived in South Australia on the British Empire on 14 August 1850.",movement,He,14 August 1850,South Australia
596,"There he became a student in the Academy of Arts in the class of the painter Ilya Repin, graduating in 1898.",education,he,1898,Academy of Arts
597,"After the couple wed in 1987, they moved two years later from Manhattan to Seattle, where they were together for six years until Paskow""s death in 1995.",marriage,they,1987,Manhattan
598,"In 2008 Uliarte founded his own orchestra, under the title ""Orquesta Filarmonica de Ushuaia"", which played 10 concerts in Argentina.",performance,Uliarte,2008,Argentina
599,"In September 1856, Stewart was president of the city Democratic convention that nominated Robert Clinton Wright for mayor of Baltimore; In a campaign that was marred by multiple riots, Wright lost the election to Thomas Swann, the Know Nothing candidate.",assembly,Robert Clinton Wright,September 1856,Baltimore
600,"In 1963 Deakin returned to Montenegro to perform research for his wartime memoir of fighting with Tito""s army.",movement,Deakin,1963,Montenegro
601,She returned to Dunedin the following year and set up business in the city.,start org,She,the following year,Dunedin
602,"In 2006, he was invited to perform at the Busker""s Festival in Ferrara, Italy, and his music was often featured in radio, including NPR in the USA, Bayerischer Rundfunk in Germany and SFR1 in Switzerland.",performance,he,2006,Ferrara
603,"She graduated from the Moore College of Art in 1968 and earned a master""s degree in photography in 1970 from the Institute of Design at the Illinois Institute of Technology in Chicago, where she studied with Aaron Siskind.",education,Aaron Siskind,1970,Chicago
604,"Lamba had actually been caught by police several months earlier, when he was arrested together with three friends and his three bodyguards at Cresta Shopping Centre in Johannesburg, in October 2010, in relation to a chain of jewellery store robberies.",justice,he,October 2010,Johannesburg
605,"She made her debut in Ostiglia in October 1881, as the lead in The Countess of Amalfi, assuming the stage name of Maria Perrini.",performance,She,October 1881,Ostiglia
606,"Battan went to WBSR AM in late 1974 to do 7-12 midnight and experiment with a more brash, TOP 40 style that he would later bring to Birmingham, New Orleans, and San Diego.",performance,he,late 1974,Birmingham
607,Syn Neo graduated from the National University of Singapore in 1955.,education,Syn Neo,1955,National University of Singapore
608,"[2]On 7 July 1822, Zayas participated in the defence of the Royal Palace of Madrid during the failed coup d""etat carried out by the Absolutist forces and in 1823, at the head of the liberal government""s troops in Madrid, refused to hand the city over to the Duke of Angoulême""s Royalist troops, combatting them until the Duke himself arrived at the head of the so-called army of the Hundred Thousand Sons of Saint Louis towards the end of May.",military,Zayas,the end of May,Madrid
609,"In 1896 he was made a companion of the Order of the Bath, and went to Japan as military attaché.",assembly,he,1896,Japan
610,"Blackwell was born in 1942 in Ellisville, Mississippi.",birth,Blackwell,1942,Ellisville
611,Amos was awarded an Honorary Professorship at Thames Valley University in 1995 in recognition of her work on equality and social justice.,assembly,Amos,1995,Thames Valley University
612,"He went to America in 1724 where he was briefly rector of Christ Church, Philadelphia, before a royal writ of January 1726 demanded that he return to England.",career,He,January 1726,America
613,Butcher studied mathematics at Auckland University College - BSc and MSc  - and the University of Sydney - PhD (1961) and DSc.,education,Butcher,1961,Auckland University College
614,"Following the war, Mansfield settled in California and later served as a delegate to the second California constitutional convention in 1878 and 1879 and as an at-large delegate to the 1880 Republican National Convention.",career,Mansfield,1878,California
615,"They performed mostly in Washington, D.C. On October 7, 1979 Danny performed a concert at Catholic University of America for the visit of Pope John Paul II.",performance,Danny,"October 7, 1979",Washington
616,"Urban was born at on March 27, 1873 Mount Joy, Pennsylvania, to the Rev. Abraham Linwood Urban and Emma Louisa (Trexler) Urban.",birth,Urban,"March 27, 1873",Pennsylvania
617,"In 1975 he was elected Bishop of Härnösand, a post he kept till 1983 when he was elected Archbishop of Uppsala and Primate of Sweden.",career,he,1983,Härnösand
618,From 1996 to 2010 he served in various positions at the Theological College of Lanka in Pilimatalawa.,career,he,1996 to 2010,Pilimatalawa
619,"Hussey took part in an April 1910 march on Washington, D.C. where she presented a women""s suffrage petition to New Jersey representative, William H. Wiley.",assembly,Hussey,April 1910,Washington
620,"Following undergraduate training at University College of Addis Ababa, he received his M.D. from McGill University in 1963, and completed his surgical training at the University of British Columbia.",education,he,1963,University College of Addis Ababa
621,"From 1963 to 1965, she studied for a DPhil in Theoretical Physics at the University of Oxford.",education,she,1963 to 1965,University of Oxford
622,"He earned his master""s degree from Sichuan University in 1987 and his doctorate from Fudan University in 1995.",education,He,1987,Sichuan University
623,She graduated with a Bachelor of Visual Arts from Western Sydney University in 1991.,education,She,1991,Western Sydney University
624,"On 8 August 2022, Dujardin returned to Hong Kong and signed for Hong Kong Premier League club Sham Shui Po.",career,Dujardin,8 August 2022,Hong Kong
625,Joseph August Knip (sometimes Latinized to Josephus Augustus Knip; baptized 3 August 1777 in Tilburg – buried 1 October 1847 in Berlicum) was a Dutch painter.,birth,Josephus Augustus Knip,3 August 1777,Tilburg
626,"In 1901 Bussy visited London, where he came into contact with members of some English artistic circles, especially the Bloomsbury Group, and where he met Dorothy Strachey, who became his wife in 1903.",marriage,Bussy,1903,London
627,"Boateng""s life in Ghana came to an abrupt end after his father went to jail in 1966 following a military coup, which toppled the Ghanaian government.",settlement,Boateng,1966,Ghana
628,"Since July 2021, he has been an assistant professor in the ecology and evolutionary biology department at Princeton, where he leads a research group.",career,he,July 2021,Princeton
629,"On September 30, 2012, Pedroia broke his left ring finger but, after being reassured the injury would not degrade with use, he made the decision to play through the pain in the following season-ending series at Yankee Stadium.",competition,Pedroia,"September 30, 2012",Yankee Stadium
